date,time,time_part,National_positiver_rate,H1N1_positive_rate,H1N1_ILI%×positive%_national,H1N1_ILI%×positive%_national_lag_1_week,H1N1_ILI%×positive%_national_lag_2_week,H1N1_ILI%×positive%_national_lag_3_week,H1N1_ILI%×positive%_national_lag_4_week,H1N1_flu_season,holiday,trend_stage,absolute_humidity,uvindex,solarenergy,solarradiation,visibility,cloudcover,sealevelpressure,winddir,windspeed,humidity,feelslike,temp,DTR
201101,2011/1/5,pre,0.249791145,0.141186299,0.443197985,0.898223784,1.042847988,1.055673204,0.837668812,0,0,0,2.958612678,4.538082167,9.42600597,109.1907974,10.94454332,53.68714306,869.7049454,140.1187993,19.37767505,66.55809253,-6.203258223,-2.635740931,8.579494953
201102,2011/1/12,pre,0.3232493,0.242577031,0.825898099,0.744874117,0.898223784,1.042847988,1.055673204,0,0,0,2.771486217,5.022391812,10.61572856,122.9432795,10.53436495,39.23205639,867.7175987,175.1287434,19.30627816,63.85623693,-6.471668881,-3.045258205,10.08635477
201103,2011/1/19,pre,0.395517469,0.313777192,1.041682674,0.47637704,0.744874117,0.898223784,1.042847988,0,0,0,2.698343991,5.105513996,10.92669623,126.5432151,10.76682553,40.42723818,868.1956343,160.112492,20.01110743,63.24910413,-7.499213721,-3.85890042,10.11087315
201104,2011/1/26,pre,0.356727273,0.297818182,1.039896489,0.32129821,0.47637704,0.744874117,0.898223784,0,0,0,3.166740544,5.097842262,10.88928974,126.0826044,9.290340454,47.3128127,869.1627795,159.3179084,17.56111044,67.48938626,-5.475120656,-2.447363659,9.793050193
201105,2011/2/2,pre,0.378723404,0.323404255,1.315215554,0.230186383,0.32129821,0.47637704,0.744874117,0,1,-1,2.998651069,5.801490106,12.79093971,148.1971123,10.80639982,33.79502092,870.0206212,176.38639,17.62555502,61.31178009,-4.817875241,-1.871437621,11.44300696
201106,2011/2/9,pre,0.323129252,0.243197279,0.774597236,0.136154122,0.230186383,0.32129821,0.47637704,0,0,0,4.61566952,5.826928491,12.81342906,148.4882189,10.14994671,33.14105333,859.7284176,174.2835013,19.60612834,64.48089206,1.288411961,3.63529601,13.05468348
201107,2011/2/16,pre,0.23939987,0.166340509,0.463185857,0.083525868,0.136154122,0.230186383,0.32129821,0,0,0,3.869621295,5.267565557,11.58210063,134.1889429,9.880704028,56.33528998,863.6194026,125.6740056,19.85804879,71.51307915,-2.467282014,0.407354006,9.214458657
201108,2011/2/23,pre,0.217280813,0.144853875,0.426497821,0.049092089,0.083525868,0.136154122,0.230186383,0,0,0,4.90681142,6.351431789,14.44786639,167.3352327,9.311785111,41.99179034,862.6588864,141.2758476,17.03469474,68.68810429,2.006848256,4.00276102,11.85034789
201109,2011/3/2,pre,0.170400943,0.081957547,0.241227244,0.026418382,0.049092089,0.083525868,0.136154122,0,0,0,5.261850234,6.211761985,14.20698198,164.5269517,9.595841377,50.46964085,862.2899845,132.3547428,22.35111708,69.64737472,3.367018581,5.667006517,10.83391751
201110,2011/3/9,pre,0.132892363,0.052916416,0.154281916,0.017991802,0.026418382,0.049092089,0.083525868,0,0,0,4.788995884,6.532878861,15.19851995,175.9733983,10.35601975,49.5823168,863.2607133,165.01194,19.93519647,65.40539837,2.560370415,4.650732986,11.09100406
201111,2011/3/16,pre,0.131782946,0.03374373,0.098738552,0.011171089,0.017991802,0.026418382,0.049092089,0,0,0,5.058351569,6.966256435,16.57388192,191.9560238,11.65480112,49.3249638,861.281436,183.5973305,23.10016993,58.75395049,5.856671291,7.60760437,12.81905868
201112,2011/3/23,pre,0.111290323,0.01827957,0.050368777,0.007034388,0.011171089,0.017991802,0.026418382,0,0,0,5.097383239,6.90243927,16.57465412,191.9438938,11.45400077,58.69180442,862.267453,167.7788218,24.16392978,61.70071791,4.556524494,6.666245374,10.62181568
201113,2011/3/30,pre,0.113241195,0.011145787,0.030714225,0.005529823,0.007034388,0.011171089,0.017991802,0,0,0,4.690658739,7.841809443,19.73583494,228.5515163,12.96761583,40.45345781,864.7927074,181.2500825,20.09669703,51.91463059,6.219994771,7.831533544,12.70484335
201114,2011/4/6,pre,0.123691722,0.005708849,0.016546802,0.004103935,0.005529823,0.007034388,0.011171089,0,0,0,6.374081527,7.407909025,18.78460325,217.5350798,10.99758084,45.44664978,861.525907,151.6821831,21.45671554,61.02857545,9.45591518,10.69787846,12.73530808
201115,2011/4/13,pre,0.101590106,0.001766784,0.008043722,0.003246092,0.004103935,0.005529823,0.007034388,0,0,0,7.761459538,7.942145271,20.26052124,234.6304557,10.58071006,43.63537745,858.6598918,185.69283,22.26598697,58.80948259,13.11530426,13.93553833,13.33049087
201116,2011/4/20,pre,0.123691722,0.005708849,0.016662457,0.003246092,0.003246092,0.004103935,0.005529823,0,0,0,7.811057966,8.246430582,21.48660212,248.8478865,12.37542632,42.06482163,854.87554,177.3293437,23.28829634,54.60888132,15.40256898,15.95670548,14.13934504
201117,2011/4/27,pre,0.078294574,0.001550388,0.003431373,0.003280172,0.003246092,0.003246092,0.004103935,0,0,0,8.512631826,8.110119048,21.51130953,249.0942297,12.83923142,45.05369812,853.856245,175.9168809,23.05844997,56.11613578,16.19382944,16.78052003,14.03227458
201118,2011/5/4,pre,0.062571104,0,0,0.000540446,0.003280172,0.003246092,0.003246092,0,0,0,9.546880392,7.687258687,19.90344273,230.4809996,11.82968348,56.02220681,850.5967473,186.5947988,23.52450129,59.82738699,17.50007541,17.82042813,12.6274071
201119,2011/5/11,pre,0.069498069,0.000965251,0.002025463,0.000540446,0.000540446,0.003280172,0.003246092,0,0,0,11.68493869,7.816381114,20.87368485,241.7033744,12.4205699,53.20697897,850.0082308,175.9480474,22.95941723,63.33417089,20.36418618,20.11293638,12.39359516
201120,2011/5/18,pre,0.055555556,0.00094162,0.010958904,0.000540446,0.000540446,0.000540446,0.003280172,0,0,0,10.45191748,8.137387387,22.25304255,257.6109264,12.53800575,50.66007782,852.4852649,186.6682614,21.38538349,59.94155204,19.332536,19.50203306,12.79055562
201121,2011/5/25,pre,0.048076923,0,0,0,0.000540446,0.000540446,0.000540446,0,0,0,10.13748134,7.697102237,20.84274956,241.3515193,12.10627816,58.75428129,852.9331222,157.055889,22.15328588,62.81982686,18.41453407,18.57527952,11.87438063
201122,2011/6/1,pre,0.040501446,0,0,0,0,0.000540446,0.000540446,0,0,0,11.49285955,8.359676641,23.0793376,267.2098757,12.07578729,47.4824083,852.9424731,166.1136533,19.0920206,60.19763514,21.34546533,21.34257159,13.118749
201123,2011/6/8,pre,0.027027027,0.001175088,0.002161785,0,0,0,0.000540446,0,0,0,13.9490643,7.674247909,20.96535453,242.8498924,12.11629867,59.33282658,848.5953578,187.6404762,20.41486788,64.77002293,23.85578749,23.26863538,11.70967865
201124,2011/6/15,pre,0.018181818,0,0,0,0,0,0,0,0,0,14.98400263,7.367086953,20.23225346,234.2536388,11.95662906,62.50679999,847.1885558,166.0368857,19.7038419,67.95998029,24.59703487,24.01874699,11.00676681
201125,2011/6/22,pre,0.015432099,0,0,0,0,0,0,0,0,0,16.03245002,7.477950049,20.76680945,240.4476321,12.18519647,62.73280044,847.3557533,147.6085978,18.97739805,69.72778113,25.69114986,24.71246783,10.6236406
201126,2011/6/29,pre,0.018648019,0,0,0.000498132,0,0,0,0,0,0,16.29337012,7.323881918,20.42962617,236.5881315,11.91633688,56.84327441,847.1115579,160.6302134,20.89876931,71.37043115,25.59268219,24.63265967,10.15824485
201127,2011/7/6,pre,0.015695067,0,0,0.000498132,0.000498132,0,0,0,0,0,17.87739762,8.045668436,22.26050917,257.7271075,12.89717564,58.3418939,845.8241001,184.3009512,20.61394587,71.49426782,28.32874538,26.33575048,10.55419884
201128,2011/7/13,pre,0.020785219,0,0,0.000498132,0.000498132,0.000498132,0,0,0,0,16.47435058,7.453044563,20.25289576,234.5560781,11.30541043,64.10001609,847.2752182,173.3891057,17.4875,71.16691502,25.97739604,24.96897422,10.15997929
201129,2011/7/20,pre,0.02060844,0,0,0.000498132,0.000498132,0.000498132,0.000498132,0,0,0,17.32518884,7.519475949,20.61945584,238.7507531,10.93550213,52.6051651,847.1307393,154.1094454,15.83871562,71.97529058,26.83675897,25.70013574,10.38229669
